cph,x,y,infDay
142/0007,199055.0,664681.0,149
142/0051,194665.0,678251.0,129
152/0042,170771.0,622006.0,129
152/0058,162231.0,619217.0,145
156/0001,179372.0,641919.0,132
156/0005,180791.0,638061.0,143
156/0022,175164.0,633821.0,145
156/0045,178617.0,632612.0,131
157/0001,168739.0,608232.0,130
157/0023,169070.0,612165.0,117
157/0062,167051.0,608551.0,142
157/0063,168452.0,608408.0,131
158/0029,184142.0,707999.0,129
176/0002,238351.0,619166.0,129
176/0008,235112.0,616570.0,119
176/0015,239107.0,618421.0,95
176/0016,237368.0,620404.0,110
176/0020,231564.0,605603.0,96
176/0032,235086.0,617411.0,105
176/0034,235184.0,617853.0,94
176/0035,238089.0,618182.0,137
176/0042,237137.0,621067.0,105
176/0087,239403.0,624877.0,111
176/0104,237901.0,623702.0,117
177/0006,246674.0,631353.0,99
177/0008,242692.0,630730.0,105
177/0011,245907.0,631656.0,108
177/0013,243542.0,631039.0,132
177/0014,243909.0,631953.0,135
177/0018,241936.0,632518.0,99
177/0024,243616.0,632411.0,108
177/0029,245740.0,631114.0,146
177/0032,243738.0,630682.0,147
177/0045,238662.0,629028.0,115
178/0006,239833.0,634239.0,106
178/0008,237762.0,634729.0,101
178/0009,238503.0,634359.0,134
178/0010,238171.0,633735.0,106
178/0024,236728.0,635989.0,131
178/0036,237447.0,636393.0,123
178/0040,235871.0,637452.0,131
178/0084,234540.0,632659.0,113
178/0097,235935.0,632155.0,128
178/0106,240415.94,635439.4962,120
179/0009,237280.0,627251.0,118
180/0018,241087.0,633067.0,100
180/0022,240559.6093,631884.6887,96
180/0025,238896.0,632097.0,119
180/0027,236601.0,630738.0,96
180/0028,237435.0,630494.0,141
180/0029,239042.0,631417.0,129
180/0049,239047.0,630352.0,133
181/0004,246185.0,629448.0,130
181/0005,247660.0,629028.0,116
181/0007,246906.0,627282.0,94
181/0008,247020.0,629041.0,132
181/0018,245731.0,628130.0,134
181/0020,243515.0,629845.0,135
181/0027,244790.0,626261.0,137
181/0030,242685.0,625966.0,114
181/0031,244188.0,625628.0,101
181/0032,242293.0,625749.0,135
181/0036,243355.0,626166.0,121
181/0038,243512.0,625588.0,93
181/0039,241395.6996,628511.0542,132
181/0057,246004.0,626849.0,113
181/0058,244223.0,628220.0,94
181/0070,241005.0,628085.0,103
181/0071,239921.0,627459.0,130
181/0073,240794.4318,627096.8918,103
181/0093,243441.0,626780.0,122
181/0094,241042.0,625331.0,129
181/0099,240221.0,622640.0,105
181/0124,245438.0,630068.0,130
182/0002,245168.4299,614941.1708,99
182/0006,238674.0,621505.0,134
182/0009,241922.0,615044.0,99
182/0013,243950.0,617434.0,97
182/0019,242599.0,618236.0,134
182/0021,241974.0,616773.0,107
182/0022,241220.0,617464.0,124
182/0024,240548.0,616861.0,115
182/0028,241809.0,619451.0,97
182/0032,240198.0,619096.0,106
182/0037,241194.0,619204.0,78
182/0038,246114.0,613127.0,92
182/0043,242685.5514,620562.025,98
182/0056,242119.0,619206.0,110
182/0064,238402.0,622343.0,134
182/0072,238783.0,622866.0,105
183/0001,249312.0,606728.0,90
183/0005,251144.9056,600039.5215,89
183/0009,242829.0,609535.0,81
183/0010,241609.0,611030.0,115
183/0015,249349.0,604211.0,94
183/0018,245848.0,607676.0,96
184/0004,237009.0,615024.0,147
184/0021,240877.8175,615112.5231,93
184/0023,240567.0,615603.0,104
184/0027,239394.0,614370.0,97
184/0033,239528.0,616595.0,118
184/0036,236908.0,615828.0,94
184/0041,239157.0,615750.0,115
184/0045,242307.0,614703.0,85
184/0046,235005.0,614648.0,124
184/0047,235575.0,614472.0,102
184/0054,242838.5474,612305.839,129
184/0055,241238.0,612828.0,97
185/0002,257288.0,622685.0,97
185/0003,256213.0,621926.0,112
185/0008,257032.0,622259.0,147
185/0012,253904.0,622648.0,98
185/0015,253441.0,622486.0,104
185/0016,251174.2157,622074.822,100
185/0018,252139.0,620940.0,118
185/0019,251718.0,621607.0,117
185/0023,251896.0,622748.0,104
185/0026,260304.0,621550.0,129
185/0029,257837.0,623769.0,99
185/0038,263121.0,621537.0,69
185/0047,261027.0,621972.0,95
185/0060,261357.0,621746.0,81
185/0061,267037.657,620781.4816,93
185/0062,260384.0,622349.0,98
185/0063,263546.0,624723.0,98
185/0066,262374.0,620754.0,98
186/0011,248567.0,628625.0,95
186/0021,251952.0,631012.0,129
186/0030,247897.6499,626502.5589,85
186/0043,248696.0,631362.0,116
186/0046,249965.0,629383.0,128
186/0054,252262.0,627621.0,112
186/0061,250692.0,629589.0,134
186/0065,249969.0,624050.0,99
186/0078,251749.0,623631.0,102
186/0081,248989.1803,625835.6139,97
186/0082,251977.0,632049.0,114
186/0083,251441.0,631433.0,110
187/0002,264805.0,629699.0,90
187/0004,266965.0,626366.0,108
187/0005,267454.0,625664.0,74
187/0009,263194.0,627387.0,96
187/0010,262728.8258,629685.6737,80
187/0011,264805.0,629699.0,99
187/0012,265334.0,628217.0,88
187/0014,271429.0,628289.0,92
187/0015,268666.0,628384.0,132
187/0017,269558.2184,628867.5275,127
187/0018,270717.0,626942.0,97
187/0021,270778.0,627419.0,93
187/0034,268666.0,628384.0,96
187/0041,266082.0,628316.0,103
187/0042,267258.0,628526.0,104
187/0045,271850.4995,630477.5701,76
188/0005,263889.0,613207.0,78
188/0007,264437.0,613437.0,91
188/0008,259501.0,614783.0,79
188/0014,265261.0,613275.0,135
188/0017,255811.0,612948.0,99
188/0018,259529.0,616444.0,95
188/0019,261670.0,613331.0,96
188/0023,259420.0,616953.0,92
188/0029,264897.0,614364.0,95
188/0031,264054.0,614365.0,87
188/0033,262252.0,613694.0,96
188/0034,263535.0,613208.0,82
188/0039,261138.0,610655.0,93
188/0040,260825.0,612587.0,111
188/0041,261260.0,611663.0,92
188/0048,257907.0,610637.0,94
188/0049,259481.0,610501.0,90
188/0052,256237.0,610508.0,99
188/0055,256467.7577,608137.1818,96
188/0058,260231.0,610314.0,100
188/0062,260324.0,613653.0,77
188/0064,257206.0,613296.0,87
188/0070,265363.1057,609214.8246,72
188/0075,266765.0,613859.0,88
188/0078,261851.0,609529.0,89
188/0083,263535.0,613208.0,78
188/0096,262900.0,615483.0,101
188/0104,253601.0,609278.0,130
188/0110,262067.0,615116.0,89
188/0118,260156.0,615475.0,87
189/0001,250163.0,620458.0,102
189/0003,248650.0,620732.0,109
189/0004,249603.0,619964.0,95
189/0006,248156.0,619598.0,133
189/0008,249955.0,621321.0,102
189/0011,250275.0,614630.0,103
189/0012,250267.0,619799.0,118
189/0017,250656.0,618790.0,116
189/0020,251221.0,618188.0,99
189/0024,250843.0,619570.0,131
189/0027,246644.0,619839.0,91
189/0028,246092.0,620001.0,97
189/0030,247242.0,619197.0,91
189/0036,249418.0,617934.0,93
189/0038,249071.0,623116.0,131
189/0039,247442.0,616262.0,94
189/0040,252026.0,619595.0,122
189/0042,246333.0,617336.0,108
189/0043,246439.0,617026.0,110
189/0044,247555.0,617488.0,89
189/0045,248517.0,622501.0,121
189/0046,246860.0,616216.0,85
189/0056,248591.0,623478.0,98
189/0059,245988.0,614207.0,98
189/0061,246583.0,615357.0,98
189/0069,249528.0,619345.0,130
189/0073,244972.0,617875.0,104
189/0079,244974.0,619618.0,129
189/0095,252791.3402,619845.1518,104
189/0104,248760.0,620520.0,94
189/0105,245320.0,618192.0,98
190/0004,257657.0,619485.0,89
190/0005,259531.0,620078.0,75
190/0008,258106.0,620466.0,103
190/0012,255133.1204,616443.4067,105
190/0013,260244.0,619903.0,126
190/0015,257554.0,616905.0,135
190/0016,263632.0,619278.0,91
190/0017,254110.0,618868.0,102
190/0024,258866.0,617242.0,97
190/0025,257737.0,618070.0,100
190/0029,262453.0,619523.0,101
190/0033,258948.0,620053.0,129
190/0034,258750.0,619451.0,79
190/0035,259612.0,620447.0,100
190/0037,259778.0,621073.0,80
190/0039,258106.0,620466.0,118
190/0040,257291.0,617375.0,118
190/0042,254319.3273,619178.5383,100
190/0046,260973.0,618869.0,114
190/0047,259760.0,618592.0,109
190/0051,254476.0,618388.0,98
190/0057,252117.0,618629.0,96
190/0061,256675.0,618168.0,104
190/0062,255298.0,618853.0,105
190/0067,258015.0,616520.0,109
191/0001,254055.0,628106.0,125
191/0013,257606.0,626452.0,125
191/0016,255868.0,627413.0,104
191/0028,254039.0,625802.0,122
191/0029,253396.037,628267.1858,137
191/0031,252784.0,630166.0,135
191/0037,258967.0,626090.0,124
191/0039,258078.0,625822.0,97
191/0040,259311.0,628542.0,91
191/0047,252106.0,629178.0,131
191/0050,260187.6795,628972.5021,120
191/0054,258405.7687,630145.935,129
191/0055,251939.0,629489.0,102
191/0057,253530.0,632624.0,117
191/0061,255716.4221,631601.419,99
191/0068,254949.0,625438.0,95
191/0074,252136.0,625431.0,116
191/0079,252426.0,628659.0,102
191/0083,258720.0,626890.0,99
191/0086,256695.0,624142.0,132
191/0089,253788.0,623366.0,127
191/0104,259771.6546,626578.1735,106
192/0001,247646.0,624527.0,117
192/0005,245504.0,623690.0,112
192/0006,245242.0,622916.0,130
192/0007,245985.0,623231.0,125
192/0008,246859.0,624459.0,104
192/0010,248852.0,624701.0,93
192/0013,245423.0,622315.0,93
192/0014,244628.0,622434.0,120
192/0023,243761.0,620206.0,120
192/0027,245590.0,620748.0,107
192/0028,244234.0,621663.0,97
192/0029,245121.0,621772.0,114
192/0035,243032.0,621740.0,97
192/0038,246653.0,621934.0,107
193/0006,213635.0,573509.0,88
193/0011,209700.0,580586.0,89
193/0022,210045.0,580947.0,118
193/0024,210697.0,580681.0,119
193/0030,214851.0,582856.0,104
193/0034,211436.0,583038.0,101
193/0035,209361.0,582217.0,106
193/0039,208528.0,581578.0,129
193/0040,212257.0,583653.0,98
193/0041,213836.0,582019.0,92
193/0043,209285.0,583864.0,131
193/0045,211578.0,577845.0,109
193/0048,211957.0,581805.0,88
193/0049,207595.0,580756.0,130
193/0051,212713.0,582660.0,108
193/0052,211590.0,583818.0,137
193/0053,211578.0,577845.0,124
193/0057,212713.0,582660.0,105
193/0058,207940.0,579705.0,114
193/0059,207894.0,579936.0,106
194/0003,228668.0,595931.0,99
194/0004,233121.2182,597731.2055,101
194/0009,233113.0,595124.0,97
194/0010,230814.0,596270.0,100
194/0011,228727.0,594107.0,110
194/0015,221562.0,589393.0,99
194/0018,224156.9972,587475.3413,108
194/0023,222481.0,591270.0,89
194/0027,231640.0,590977.0,118
194/0032,224625.0,592394.0,105
194/0035,230871.0,595681.0,94
194/0042,222146.0,590587.0,80
194/0043,224664.0,591846.0,111
194/0044,228057.0,594769.0,101
195/0004,225566.0,581422.0,103
195/0006,219971.0,586085.0,102
195/0007,220874.0,576814.0,106
195/0008,221267.0,584516.0,92
195/0009,220750.0,582879.0,113
195/0011,221687.0,586272.0,112
195/0017,211804.0,588923.0,106
195/0018,211041.0,587552.0,130
195/0020,211397.0,587046.0,98
195/0025,228244.0,580578.0,97
195/0029,214483.0,585873.0,111
195/0032,223738.0,580949.0,92
195/0033,223148.0,582169.0,91
195/0036,214563.0,585839.0,97
195/0038,222190.8236,587440.8831,113
195/0040,218697.0,587281.0,115
195/0042,212248.0,585770.0,104
195/0044,220140.0,588738.0,101
195/0046,217151.0,590576.0,100
195/0048,214099.0,591065.0,108
195/0049,221267.0,584516.0,100
195/0051,232027.3587,577823.4631,98
195/0057,219349.0,583796.0,102
195/0063,223148.0,582169.0,111
195/0066,230006.0,580807.0,129
195/0070,210788.0,586071.0,119
195/0074,226022.0,580103.0,108
195/0075,221279.0,584023.0,105
195/0082,221166.0,583652.0,116
195/0085,224438.0,581652.0,116
195/0095,219845.0,588179.0,100
195/0096,210124.0,586827.0,98
195/0097,219330.0,587280.0,80
195/0099,213974.0,584757.0,103
195/0100,211673.0,585679.0,115
195/0101,215085.0,589625.0,97
195/0106,211279.0,584232.0,107
195/0110,216858.0,586147.0,104
195/0123,226863.0,580457.0,130
195/0128,230873.0,577164.0,129
195/0141,213735.0,588642.0,91
195/0142,220750.0,582879.0,101
196/0001,228149.0,602090.0,117
196/0004,231691.3245,601800.3274,97
196/0009,227896.0,601196.0,96
196/0016,224166.0,600212.0,90
196/0022,228951.0,601373.0,100
196/0023,221660.0,599087.0,112
196/0024,222832.0,601292.0,103
196/0025,227246.0,602822.0,91
196/0026,226230.0,600334.0,89
